L,H,E,nu,F,u_max,sigma_vm_max
1.329489597879349949e+00,1.904209980257693391e-01,1.792422091473149109e+11,2.979369564124540459e-01,2.193617630663718046e+03,1.455368505094875723e-05,5.436138099623428425e+05
1.979947317386482997e+00,1.576640354005465205e-01,2.031672524005377502e+11,2.618478577217041581e-01,4.327401556358521702e+03,1.389933212113929762e-04,2.022675939894183539e+06
1.455610825986811463e+00,6.828825175026689842e-02,1.523561199956909180e+11,3.186096365105448580e-01,5.553620864987127561e+02,9.579964856456679343e-05,9.554344672827147879e+05
1.181476942762619942e+00,1.738099266794481956e-01,1.113502635481725769e+11,2.958548081798550999e-01,2.490413571805519496e+03,2.465082394517668376e-05,6.592658609731092583e+05
9.528910871637373825e-01,1.877662843273331661e-01,1.793811649604122314e+11,2.610588410996110276e-01,4.986655960269078605e+03,1.345740120191123012e-05,9.215264160712767625e+05
1.818800036461617919e+00,9.258626567960584475e-02,1.871655211525313721e+11,2.606419531871382866e-01,4.995971287134073464e+03,5.835356546724945357e-04,5.520109729448149912e+06
1.498527104159805390e+00,1.475187523338195583e-01,8.266170177777857971e+10,3.397033398896625034e-01,6.304977644201123894e+02,2.585374596729301400e-05,2.982088159406092600e+05
8.612420870617205626e-01,7.145328127499525617e-02,1.787475116969105835e+11,2.698204227212898099e-01,4.597872022088983613e+03,1.489803548051875360e-04,4.624252343215310946e+06
1.484403558991235217e+00,5.542440657420443645e-02,7.076017677801806641e+10,2.551657917014398813e-01,3.226663299414774428e+03,2.145494115295188287e-03,7.078374923266607337e+06
1.702222716289123028e+00,8.578292309410828764e-02,1.889172380092302246e+11,2.557231940153260608e-01,4.104337341387543347e+03,4.882862656503296353e-04,4.903835924466861412e+06
1.891693145258420472e+00,1.658162598656571229e-01,1.677369097570092163e+11,3.337980218655383080e-01,6.806808479617989178e+02,1.925027872402552243e-05,3.114958984869008418e+05
8.026731660785830780e-01,6.873855189584646141e-02,1.406343386270181274e+11,3.245188128328844179e-01,3.335053300593794120e+03,1.210882731170585678e-04,3.681015410911973100e+06
1.776696649642902415e+00,7.328194886616364034e-02,1.728469528709226074e+11,2.693041490868903765e-01,1.718414380930101061e+03,3.675979755608750816e-04,2.749068368649804499e+06
